ID,Title,State,Developer,Module,Severity,Tester,createdDate,RootCause
33777,2018 Group Incentive Goal: NetCore Claims UI to Database Mapping,Cancelled,Brian Cushman,Claims,2 - Medium,Brian Cushman,1/19/2018 20:22,Data/Conversion
40364,2018.Policy.1 QA Testing - Red screen error when deleting an autocreated tail risk,Closed,Matthew Murray,POLICY,2 - Medium,Ken Bosland,9/13/2018 22:46,Code Error
36487,"28659 - Claims Base 1 Release: Existing and Newly created Claim,  No Edit Button on Close Clam - Claim Folder - Claim.  Editable field mising from Claim Folder - Line",Cancelled,Swati Rastogi,Claims,2 - Medium,Jon Frye,4/26/2018 21:36,Broken Functionality
36169,29900 - CSIC - Policy not found 005CT000021270,Cancelled,Swati Rastogi,Claims,2 - Medium,Jon Frye,4/19/2018 9:36,Data/Conversion
32877,30978/30229 - Able to attach to AERP Coverage on a Tail policy.  AERP Date should not apply.,Closed,Swati Rastogi,Claims,3 - High,Jon Frye,12/12/2017 2:11,Change in Scope
39192,31092 - Billing - Installment Fee on Invoices following Reinstatement,Closed,Vibha Jain,Billing,2 - Medium,Jamie Coleman,7/30/2018 21:44,Broken Functionality
39116,38346: HUGroup Release:  Receiving error when creating FNOL in CSIC Policy.,Closed,Swati Rastogi,Claims,2 - Medium,Jon Frye,7/28/2018 20:39,Change Request
37470,8/Billing - Agency Statements Processing date not calculating/populating (CSIC),Closed,Manasi Bobade,Billing,2 - Medium,Stacey Eley-Daughtry,6/3/2018 23:56,Broken Functionality
49327,Activity Log for Billing Accounts do not display amounts less the $ 1.00 - pos or neg 001COM0000002261,Open,,Billing,2 - Medium,Mustapha Fahimi,3/16/2020 22:44,
47350,Add a flag within the NetCore Policy Deductible section  to specify whether the deductible applies at a Claim or Event level,Awaiting Dev Assignment,,POLICY,2 - Medium,Travis Hanson,8/14/2019 17:33,Change Request
36034,Add Claims Staff Department Changes – 3/26/18 agent alert to agent portal,Closed,John Higgins,Content,3 - High,Kristen Wilson,4/14/2018 1:01,Content Addition
39798,Add new policy indicator - SHL (Shell Policy),Closed,Arvind Prajapati,Claims,2 - Medium,Jon Frye,8/16/2018 3:06,Build
49654,Add Non-Hosp Virtual Visit code to Location Field in Netcore claims,Closed,Rohan Mehta,Claims,2 - Medium,Jon Frye,4/30/2020 22:04,Change Request
45069,Add Policyholder Application COV MPL 001 PS 10/18 to Agent Portal,Closed,John Higgins,Content,2 - Medium,Kim Williams,3/29/2019 22:39,Content Addition
34208,Add Policyholder Services brochure to agent portal,Closed,John Higgins,Content,2 - Medium,Kristen Wilson,2/6/2018 1:31,Content Addition
49440,Add Product Code to Claims Extract,Business Approved,Eric Huang,Claim Extracts,2 - Medium,Vanessa Gladkowski,3/30/2020 23:47,New Request
45985,Add Sequel Query Scripts to FRS TEST and PROD for Claims Notification Processing,Closed,,Loss Notice Table,2 - Medium,Vanessa Gladkowski,5/14/2019 22:56,
45396,Add SHL policy indicator to claims extract,Closed,Eric Huang,Claim Extracts,2 - Medium,Lisa Kucinski,4/12/2019 18:22,Content Addition
47358,Additional converted claims with incorrect financial information.,BSA Review,,Claims,2 - Medium,Jon Frye,8/15/2019 1:56,
44435,After 44047 - Claim 123216 - Need to  rolled back after the policy # is changed,Closed,Brian Cushman,Claims,2 - Medium,Jon Frye,3/15/2019 18:13,Data Error
33240,"After issuing a policy, error message is displayed in trace monitor for PostPolicyRQ. Transactions are not being posted to the billing side",Closed,,Billing,2 - Medium,Ronda Chrzan,12/27/2017 23:49,Base Defect
33106,Agent Portal - Claims Loss History and Coverage Verification Page edits and new Claims Forms/Requests (Master ticket #31627 linked),Closed,John Higgins,Content,2 - Medium,Kristen Wilson,12/19/2017 0:27,Content Addition
40862,Agent Portal > Policy Details window - PRV Calculation error,Cancelled,John Higgins,General Issues,2 - Medium,Stacey Lapierre,10/2/2018 18:34,Code Error
46944,Agent/Broker Portal-Policyholder Services Brochure,Closed,John Higgins,Content,2 - Medium,Christa Reason,7/12/2019 21:14,Content Addition
42204,Aggregate MRA Graphs are grabbing current at a practitioner level when it should be at a site level,Business Approved,Joe Monteleone,Database Maintenance,2 - Medium,Jan Puchalski,12/1/2018 2:39,Broken Functionality
33219,Aggregate Report - report times out and not all sites are showing in report,Closed,Joe Monteleone,Reports,2 - Medium,Jan Puchalski,12/22/2017 22:55,Environment Related
47075,AIT - Claims Error occurred While Posting the reserves in Reserve Worksheet UI,Closed,Swati Rastogi,Claims,4 - Critical,Yogarajesh Sundaram,7/22/2019 16:35,Broken Functionality
47115,AIT - Claims While Adding the Email Id Error Occurred in Party Details UI,Closed,Manas Das,Claims,1 - Low,Yogarajesh Sundaram,7/23/2019 17:15,
47646,AIT Billing - Dividend is not posting to Billing,Closed,Manasi Bobade,Billing,2 - Medium,John Robertson,9/6/2019 22:50,Build
47702,AIT Billing (New Feature) - Payment/Receivable Write-Off Request Limit (Base - 00067571),Closed,Manasi Bobade,Billing,2 - Medium,Stacey Eley-Daughtry,9/13/2019 16:30,Base Defect
47225,AIT Billing 1st balance due letter after expiry is showing incorrect due date for account #001PRM0000139188,Cancelled,Manasi Bobade,Billing,2 - Medium,Rajashri Kesarkar,7/30/2019 20:03,Test Invalid
47607,AIT Billing Disbursement Interface (Processing with Errors),Closed,Kyle Spears,Billing,2 - Medium,Karan Ajmera,9/5/2019 18:24,Broken Functionality
47605,AIT Billing 'Hold Automatic Disbursements' option is not showing in Hold Type field,Closed,Omkar M. Sakpal,Billing,2 - Medium,Rajashri Kesarkar,9/5/2019 14:48,User Error
46993,AIT Billing- Invoice Alignment/Account Rep Name Missing,Closed,Manasi Bobade,Billing,2 - Medium,Rajashri Kesarkar,7/16/2019 21:37,Broken Functionality
46994,AIT Billing- Invoice Generating on Black-Out Date,Closed,Manasi Bobade,Billing,2 - Medium,Alyson Murphy,7/16/2019 22:12,Broken Functionality
47011,AIT Billing- NJ-EDR transaction is billing incorrectly,Closed,Nikita Mazgaonkar,Billing,2 - Medium,Rajashri Kesarkar,7/17/2019 16:39,Broken Functionality
47626,AIT Billing RSOD Errors when working in PARTY Navigating to PARTY From Billing DCOD URL,Closed,Manasi Bobade,Billing,4 - Critical,Dena Caron,9/6/2019 2:04,Build
47027,AIT Billing Unit testing: New commission plan creation entry missing on activity log,Closed,Nikita Mazgaonkar,Billing,3 - High,Rajashri Kesarkar,7/18/2019 12:00,Broken Functionality
47026,AIT Billing unit testing: New Feature - Billing Transactions Page failing (July Release Base Release),On Hold,Manasi Bobade,Billing,2 - Medium,Rajashri Kesarkar,7/18/2019 11:47,
47044,AIT Billing:  Disbursement Detail - Change to workflow - Page rendering,Closed,,Billing,2 - Medium,Lisa O'Brien,7/19/2019 0:40,
47084,AIT Billing:  IN surcharge is not getting scheduled on the invoice after reinstatement.,Closed,,Billing,2 - Medium,Rajashri Kesarkar,7/22/2019 17:00,
